Kennziffer;Raumeinheit;Aggregat;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft
;;;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
"03355";"Lüneburg";"Landkreis";"412,0";"399,6";"427,6";"404,9";"424,9";"450,4";"403,3";"387,5";"373,0";"405,3";"413,6";"426,8";"484,3";"536,5";"471,1";"475,4";"529,5";"571,9";"599,0";"626,6";"658,4";"683,0";"742,8"
"03356";"Osterholz";"Landkreis";"432,7";"398,5";"387,1";"395,8";"416,3";"408,2";"399,4";"387,6";"381,9";"360,4";"381,2";"447,3";"481,1";"526,2";"474,1";"483,9";"541,1";"560,1";"591,1";"617,4";"640,6";"687,6";"722,5"
"03357";"Rotenburg (Wümme)";"Landkreis";"413,1";"379,7";"373,2";"392,3";"385,3";"401,6";"365,9";"366,2";"359,6";"359,2";"371,9";"436,6";"474,9";"487,5";"457,4";"482,8";"538,1";"582,3";"600,5";"633,6";"660,3";"668,3";"740,6"
"03358";"Heidekreis";"Landkreis";"430,1";"428,4";"410,6";"404,3";"452,0";"459,8";"420,6";"490,6";"418,2";"402,0";"431,2";"455,8";"502,6";"499,0";"456,2";"476,5";"525,8";"562,7";"559,9";"603,2";"614,8";"665,3";"672,8"
"03359";"Stade";"Landkreis";"475,5";"444,4";"508,2";"520,9";"532,8";"544,3";"464,4";"499,5";"458,7";"442,6";"438,6";"519,7";"507,7";"574,1";"540,2";"551,7";"567,6";"639,9";"682,3";"709,5";"780,2";"841,8";"804,2"
"03360";"Uelzen";"Landkreis";"392,5";"365,7";"382,0";"390,3";"393,6";"383,0";"370,1";"367,0";"346,5";"352,5";"364,5";"400,4";"407,5";"473,8";"441,0";"450,9";"473,5";"600,4";"592,4";"611,2";"591,4";"623,5";"668,8"
"03361";"Verden";"Landkreis";"526,3";"548,7";"529,9";"537,7";"579,0";"561,1";"529,2";"488,2";"466,9";"532,3";"520,0";"551,0";"628,5";"714,3";"702,3";"647,4";"692,5";"732,0";"775,6";"820,7";"855,0";"826,5";"892,6"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"475,2";"430,4";"409,2";"427,6";"453,6";"433,4";"400,2";"395,7";"352,6";"374,0";"397,9";"420,6";"434,5";"474,6";"449,2";"443,9";"471,8";"514,9";"514,5";"523,3";"513,6";"552,5";"576,8"
"03402";"Emden, Stadt";"krsfr. Stadt";"462,0";"424,0";"528,6";"597,0";"801,8";"663,4";"537,8";"493,3";"479,9";"455,5";"485,1";"518,5";"621,1";"719,9";"738,8";"664,8";"757,6";"1.104,4";"824,6";"1.079,2";"981,4";"1.030,6";"984,5"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"509,4";"495,3";"474,0";"487,4";"519,6";"496,6";"475,2";"467,0";"443,4";"489,8";"523,3";"552,2";"571,7";"621,8";"608,0";"619,0";"630,4";"706,3";"718,3";"777,3";"833,8";"851,7";"890,2"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"506,4";"484,7";"501,6";"530,9";"518,4";"578,4";"494,0";"455,1";"466,4";"490,1";"501,9";"552,7";"588,9";"697,9";"560,1";"604,9";"647,6";"774,3";"772,8";"804,9";"745,6";"811,7";"849,7"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"425,4";"407,3";"366,5";"397,4";"414,8";"410,6";"372,9";"378,2";"339,6";"344,6";"346,4";"500,0";"552,7";"513,8";"478,6";"432,1";"529,9";"500,3";"519,6";"560,4";"630,1";"581,5";"691,6"
"03451";"Ammerland";"Landkreis";"433,6";"401,2";"376,1";"392,7";"405,2";"411,3";"391,1";"388,6";"371,3";"396,1";"434,8";"451,4";"474,9";"530,4";"489,4";"489,4";"534,5";"602,3";"643,6";"678,6";"708,7";"715,8";"754,2"
"03452";"Aurich";"Landkreis";"345,6";"321,2";"323,6";"330,0";"341,7";"340,6";"333,3";"339,3";"338,1";"371,5";"409,3";"468,5";"469,3";"561,5";"563,3";"634,6";"616,1";"707,6";"888,8";"643,3";"716,2";"676,8";"692,6"
"03453";"Cloppenburg";"Landkreis";"348,5";"345,8";"389,2";"399,7";"370,4";"406,9";"395,9";"409,0";"404,6";"433,6";"465,7";"526,3";"537,2";"539,9";"481,9";"484,6";"543,8";"594,6";"595,4";"610,3";"672,2";"699,5";"719,9"
"03454";"Emsland";"Landkreis";"380,1";"364,8";"375,2";"401,3";"408,0";"487,5";"434,6";"395,8";"411,1";"477,8";"410,5";"479,8";"535,3";"645,8";"560,4";"496,9";"614,3";"637,6";"677,9";"686,6";"741,2";"757,2";"759,4"
"03455";"Friesland";"Landkreis";"394,7";"362,8";"350,0";"366,6";"369,0";"399,2";"370,7";"387,1";"353,0";"360,6";"353,4";"391,0";"395,0";"466,9";"422,3";"451,3";"461,8";"468,2";"536,4";"564,1";"606,8";"610,1";"669,8"
"03456";"Grafschaft Bentheim";"Landkreis";"389,6";"364,9";"369,2";"384,4";"395,4";"408,6";"401,5";"385,6";"376,9";"363,1";"404,8";"460,8";"501,4";"570,5";"451,1";"458,9";"516,7";"563,8";"584,8";"620,2";"641,8";"671,4";"711,8"
"03457";"Leer";"Landkreis";"321,0";"298,5";"305,1";"317,6";"319,1";"321,3";"314,9";"296,6";"289,2";"298,0";"333,0";"344,6";"379,6";"441,2";"411,7";"395,7";"402,4";"488,0";"542,3";"533,9";"576,7";"575,4";"638,6"
"03458";"Oldenburg";"Landkreis";"431,9";"387,3";"371,4";"389,4";"392,6";"423,1";"400,9";"388,9";"397,1";"426,7";"482,7";"554,0";"553,1";"624,3";"570,3";"495,6";"577,8";"641,5";"660,0";"672,1";"737,6";"740,4";"765,9"
"03459";"Osnabrück";"Landkreis";"404,5";"372,7";"381,1";"380,6";"399,5";"397,6";"393,8";"381,6";"374,9";"390,4";"412,2";"489,2";"516,0";"570,4";"492,1";"515,7";"590,3";"618,3";"647,3";"669,3";"680,2";"706,4";"748,1"
"03460";"Vechta";"Landkreis";"441,4";"411,6";"432,1";"441,6";"480,8";"462,0";"448,0";"465,8";"468,1";"521,0";"522,1";"611,9";"673,1";"738,6";"675,6";"685,7";"740,7";"790,1";"815,0";"823,6";"826,5";"884,8";"929,8"
"03461";"Wesermarsch";"Landkreis";"420,8";"394,6";"387,5";"424,0";"490,0";"469,5";"432,1";"459,1";"392,3";"407,8";"428,1";"507,6";"513,4";"648,8";"631,5";"696,1";"664,3";"662,8";"765,2";"691,7";"639,0";"739,2";"866,3"
"03462";"Wittmund";"Landkreis";"353,0";"300,5";"312,3";"305,5";"382,6";"341,5";"333,4";"306,3";"314,7";"326,2";"335,7";"375,6";"411,6";"471,1";"432,9";"439,3";"454,8";"577,1";"571,9";"624,3";"591,8";"616,7";"661,5"
"04011";"Bremen, Stadt";"krsfr. Stadt";"582,9";"607,0";"533,9";"594,4";"603,6";"608,1";"571,3";"564,1";"621,4";"593,8";"570,1";"665,6";"680,2";"812,1";"692,7";"669,0";"746,7";"703,9";"767,4";"804,6";"807,5";"911,4";"943,8"
"04012";"Bremerhaven, Stadt";"krsfr. Stadt";"419,0";"414,8";"401,0";"422,7";"456,2";"444,5";"439,4";"443,0";"384,4";"383,7";"398,3";"426,1";"482,9";"526,7";"517,6";"495,3";"570,4";"588,3";"594,2";"605,7";"599,2";"601,9";"663,8"
"05111";"Düsseldorf, Stadt";"krsfr. Stadt";"802,7";"887,7";"818,2";"952,0";"969,1";"1.039,5";"969,9";"824,0";"798,8";"1.036,4";"1.035,2";"1.223,5";"1.357,9";"1.275,1";"1.132,8";"1.207,7";"1.175,9";"1.246,7";"1.296,1";"1.281,2";"1.321,1";"1.262,8";"1.487,3"
"05112";"Duisburg, Stadt";"krsfr. Stadt";"416,0";"400,9";"391,4";"437,2";"476,2";"454,6";"428,4";"411,7";"396,2";"431,0";"464,2";"517,0";"547,4";"534,8";"461,4";"475,6";"529,3";"545,3";"551,5";"556,0";"622,9";"635,5";"680,7"
